seqID	patternName	pattern	strand	start	end
CH04	N+	N+	+	23480	23509
CH04	N+	N+	+	24062	24395
CH04	N+	N+	+	25534	25534
CH04	N+	N+	+	25626	25675
CH04	N+	N+	+	26828	26839
CH04	N+	N+	+	28413	28669
CH04	N+	N+	+	29752	29873
CH05	N+	N+	+	1	54
CH05	N+	N+	+	1195	1264
CH05	N+	N+	+	4143	4322
CH05	N+	N+	+	5861	5894
CH05	N+	N+	+	6248	6294
CH05	N+	N+	+	9243	9311
CH05	N+	N+	+	11361	11371
CH05	N+	N+	+	13599	13613
CH05	N+	N+	+	16699	16758
CH05	N+	N+	+	20531	20553
CH05	N+	N+	+	21620	22530
CH05	N+	N+	+	23489	24709
CH05	N+	N+	+	25635	25689
CH05	N+	N+	+	26837	26848
CH05	N+	N+	+	29645	29882
CH06	N+	N+	+	1	54
CH06	N+	N+	+	1180	1249
CH06	N+	N+	+	4128	4307
CH06	N+	N+	+	6233	6278
CH06	N+	N+	+	9228	9294
CH06	N+	N+	+	11346	11354
CH06	N+	N+	+	13585	13598
CH06	N+	N+	+	16037	16037
CH06	N+	N+	+	16684	16743
CH06	N+	N+	+	20516	20537
CH06	N+	N+	+	21605	22515
CH06	N+	N+	+	23474	23525
CH06	N+	N+	+	23721	24694
CH06	N+	N+	+	25620	25673
CH06	N+	N+	+	26822	26833
CH06	N+	N+	+	29745	29867
CH07	N+	N+	+	1	54
CH07	N+	N+	+	386	664
CH07	N+	N+	+	1195	2233
CH07	N+	N+	+	2495	3166
CH07	N+	N+	+	3360	3360
CH07	N+	N+	+	4143	4322
CH07	N+	N+	+	5297	6294
CH07	N+	N+	+	7669	7732
CH07	N+	N+	+	8633	8656
CH07	N+	N+	+	8914	8983
CH07	N+	N+	+	9243	9317
CH07	N+	N+	+	9832	9908
CH07	N+	N+	+	10062	10096
CH07	N+	N+	+	11361	11371
CH07	N+	N+	+	13063	13088
CH07	N+	N+	+	13330	13332
CH07	N+	N+	+	13599	13613
CH07	N+	N+	+	14887	15192
CH07	N+	N+	+	15527	15607
CH07	N+	N+	+	15850	15883
CH07	N+	N+	+	16052	16052
CH07	N+	N+	+	16120	16132
CH07	N+	N+	+	16699	16758
CH07	N+	N+	+	18025	18263
CH07	N+	N+	+	19580	24709
CH07	N+	N+	+	25635	25690
CH07	N+	N+	+	26837	26848
CH07	N+	N+	+	28422	28678
CH07	N+	N+	+	29760	29882
CH08	N+	N+	+	1	54
CH08	N+	N+	+	1096	1096
CH08	N+	N+	+	1180	1249
CH08	N+	N+	+	4128	4307
CH08	N+	N+	+	6233	6278
CH08	N+	N+	+	7546	7546
CH08	N+	N+	+	9228	9294
CH08	N+	N+	+	11346	11355
CH08	N+	N+	+	13585	13598
CH08	N+	N+	+	16037	16037
CH08	N+	N+	+	16685	16743
CH08	N+	N+	+	20516	20537
CH08	N+	N+	+	21606	22515
CH08	N+	N+	+	23474	23503
CH08	N+	N+	+	25620	25673
CH08	N+	N+	+	26822	26833
CH08	N+	N+	+	29745	29867
CH09	N+	N+	+	1	54
CH09	N+	N+	+	386	1264
CH09	N+	N+	+	1943	2205
CH09	N+	N+	+	2845	2850
CH09	N+	N+	+	4143	4322
CH09	N+	N+	+	5621	5894
CH09	N+	N+	+	6248	6294
CH09	N+	N+	+	6795	7055
CH09	N+	N+	+	9243	9311
CH09	N+	N+	+	11361	11370
CH09	N+	N+	+	13063	13332
CH09	N+	N+	+	13599	13613
CH09	N+	N+	+	14887	15181
CH09	N+	N+	+	15850	16189
CH09	N+	N+	+	16699	16758
CH09	N+	N+	+	18025	18263
CH09	N+	N+	+	18946	18967
CH09	N+	N+	+	20531	20574
CH09	N+	N+	+	21135	21374
CH09	N+	N+	+	21618	21670
CH09	N+	N+	+	22857	22914
CH09	N+	N+	+	23115	23123
CH09	N+	N+	+	23480	24700
CH09	N+	N+	+	25626	25681
CH09	N+	N+	+	25949	26003
CH09	N+	N+	+	26152	26198
CH09	N+	N+	+	26828	26839
CH09	N+	N+	+	28413	28669
CH09	N+	N+	+	29636	29873
CH10	N+	N+	+	1	54
CH10	N+	N+	+	1195	1264
CH10	N+	N+	+	4143	4322
CH10	N+	N+	+	5621	5894
CH10	N+	N+	+	6248	6293
CH10	N+	N+	+	7561	7561
CH10	N+	N+	+	9243	9309
CH10	N+	N+	+	11361	11369
CH10	N+	N+	+	13600	13613
CH10	N+	N+	+	16700	16758
CH10	N+	N+	+	20531	20552
CH10	N+	N+	+	21620	22530
CH10	N+	N+	+	23489	24709
CH10	N+	N+	+	25543	25543
CH10	N+	N+	+	25635	25688
CH10	N+	N+	+	26837	26848
CH10	N+	N+	+	29760	29882
CH11	N+	N+	+	1	54
CH11	N+	N+	+	386	388
CH11	N+	N+	+	1195	1271
CH11	N+	N+	+	1534	1595
CH11	N+	N+	+	1942	2205
CH11	N+	N+	+	2789	2850
CH11	N+	N+	+	4143	4322
CH11	N+	N+	+	5930	5946
CH11	N+	N+	+	6165	6294
CH11	N+	N+	+	9243	9311
CH11	N+	N+	+	11361	11371
CH11	N+	N+	+	13599	13613
CH11	N+	N+	+	14887	14919
CH11	N+	N+	+	16699	16758
CH11	N+	N+	+	20220	20222
CH11	N+	N+	+	20531	20554
CH11	N+	N+	+	21620	22530
CH11	N+	N+	+	22862	22932
CH11	N+	N+	+	23063	24709
CH11	N+	N+	+	25635	25689
CH11	N+	N+	+	26837	26848
CH11	N+	N+	+	28422	28469
CH11	N+	N+	+	28618	28678
CH11	N+	N+	+	29645	29882
CH12	N+	N+	+	1	54
CH12	N+	N+	+	1195	1264
CH12	N+	N+	+	1628	1628
CH12	N+	N+	+	4143	4322
CH12	N+	N+	+	5621	5894
CH12	N+	N+	+	6248	6293
CH12	N+	N+	+	7561	7561
CH12	N+	N+	+	9243	9310
CH12	N+	N+	+	11361	11369
CH12	N+	N+	+	13599	13613
CH12	N+	N+	+	16700	16758
CH12	N+	N+	+	20531	20552
CH12	N+	N+	+	21620	21670
CH12	N+	N+	+	23480	24700
CH12	N+	N+	+	25626	25680
CH12	N+	N+	+	26828	26839
CH12	N+	N+	+	29751	29873
CH13	N+	N+	+	1	54
CH13	N+	N+	+	1195	1264
CH13	N+	N+	+	4143	4322
CH13	N+	N+	+	6248	6293
CH13	N+	N+	+	9243	9311
CH13	N+	N+	+	11361	11370
CH13	N+	N+	+	13599	13613
CH13	N+	N+	+	16700	16758
CH13	N+	N+	+	20531	20552
CH13	N+	N+	+	21620	21670
CH13	N+	N+	+	23480	23511
CH13	N+	N+	+	23802	23838
CH13	N+	N+	+	24051	24079
CH13	N+	N+	+	25626	25679
CH13	N+	N+	+	26828	26839
CH13	N+	N+	+	29356	29356
CH13	N+	N+	+	29636	29873
CH14	N+	N+	+	1	54
CH14	N+	N+	+	1195	1264
CH14	N+	N+	+	4143	4322
CH14	N+	N+	+	6248	6293
CH14	N+	N+	+	9243	9310
CH14	N+	N+	+	11361	11370
CH14	N+	N+	+	13599	13613
CH14	N+	N+	+	16699	16758
CH14	N+	N+	+	20531	20552
CH14	N+	N+	+	21621	21670
CH14	N+	N+	+	23480	24700
CH14	N+	N+	+	25534	25534
CH14	N+	N+	+	25626	25679
CH14	N+	N+	+	26828	26839
CH14	N+	N+	+	29636	29873
CH15	N+	N+	+	1	54
CH15	N+	N+	+	1195	1264
CH15	N+	N+	+	1628	1628
CH15	N+	N+	+	4143	4322
CH15	N+	N+	+	6248	6293
CH15	N+	N+	+	7561	7561
CH15	N+	N+	+	9243	9309
CH15	N+	N+	+	11361	11370
CH15	N+	N+	+	13600	13613
CH15	N+	N+	+	16700	16758
CH15	N+	N+	+	20531	20552
CH15	N+	N+	+	21620	21670
CH15	N+	N+	+	23480	23509
CH15	N+	N+	+	23802	23836
CH15	N+	N+	+	24010	24086
CH15	N+	N+	+	24699	24700
CH15	N+	N+	+	25626	25679
CH15	N+	N+	+	26828	26839
CH15	N+	N+	+	29356	29356
CH15	N+	N+	+	29636	29873
CH16	N+	N+	+	1	54
CH16	N+	N+	+	1195	1264
CH16	N+	N+	+	1628	1628
CH16	N+	N+	+	3360	3360
CH16	N+	N+	+	4143	4322
CH16	N+	N+	+	6248	6294
CH16	N+	N+	+	9243	9311
CH16	N+	N+	+	11361	11370
CH16	N+	N+	+	13600	13613
CH16	N+	N+	+	16700	16758
CH16	N+	N+	+	20531	20552
CH16	N+	N+	+	21621	21670
CH16	N+	N+	+	23480	23509
CH16	N+	N+	+	23800	23800
CH16	N+	N+	+	24375	24395
CH16	N+	N+	+	24698	24700
CH16	N+	N+	+	25626	25680
CH16	N+	N+	+	26828	26839
CH16	N+	N+	+	29636	29873
CH17	N+	N+	+	1	54
CH17	N+	N+	+	1195	1264
CH17	N+	N+	+	4143	4322
CH17	N+	N+	+	6248	6294
CH17	N+	N+	+	7561	7561
CH17	N+	N+	+	9243	9311
CH17	N+	N+	+	11361	11371
CH17	N+	N+	+	13599	13613
CH17	N+	N+	+	16699	16758
CH17	N+	N+	+	20531	20552
CH17	N+	N+	+	21620	21670
CH17	N+	N+	+	23480	24700
CH17	N+	N+	+	25626	25682
CH17	N+	N+	+	25949	26521
CH17	N+	N+	+	26824	26839
CH17	N+	N+	+	29636	29873
CH18	N+	N+	+	1	54
CH18	N+	N+	+	1194	1264
CH18	N+	N+	+	2847	2850
CH18	N+	N+	+	4143	4322
CH18	N+	N+	+	6248	6293
CH18	N+	N+	+	7561	7561
CH18	N+	N+	+	9243	9310
CH18	N+	N+	+	11361	11369
CH18	N+	N+	+	13600	13613
CH18	N+	N+	+	16699	16758
CH18	N+	N+	+	20531	20553
CH18	N+	N+	+	21620	22530
CH18	N+	N+	+	23489	24709
CH18	N+	N+	+	25635	25688
CH18	N+	N+	+	26837	26848
CH18	N+	N+	+	29760	29882
CH19	N+	N+	+	1	54
CH19	N+	N+	+	1195	1264
CH19	N+	N+	+	1628	1628
CH19	N+	N+	+	4143	4322
CH19	N+	N+	+	6248	6293
CH19	N+	N+	+	9243	9309
CH19	N+	N+	+	11361	11369
CH19	N+	N+	+	13600	13613
CH19	N+	N+	+	16700	16758
CH19	N+	N+	+	20531	20552
CH19	N+	N+	+	21621	21670
CH19	N+	N+	+	21987	22515
CH19	N+	N+	+	23474	23504
CH19	N+	N+	+	24694	24694
CH19	N+	N+	+	25620	25670
CH19	N+	N+	+	26822	26833
CH19	N+	N+	+	29350	29350
CH19	N+	N+	+	29745	29867
CH20	N+	N+	+	1	54
CH20	N+	N+	+	9811	9811
CH20	N+	N+	+	19276	19570
CH20	N+	N+	+	25342	25617
CH20	N+	N+	+	27820	27822
CH20	N+	N+	+	29824	29890
CH21	N+	N+	+	1	54
CH21	N+	N+	+	19276	19570
CH21	N+	N+	+	19912	20200
CH21	N+	N+	+	29824	29890
CH22	N+	N+	+	1	54
CH22	N+	N+	+	2243	2529
CH22	N+	N+	+	2881	3166
CH22	N+	N+	+	5933	6197
CH22	N+	N+	+	8317	8616
CH22	N+	N+	+	14887	15181
CH22	N+	N+	+	19264	20188
CH22	N+	N+	+	22606	23123
CH22	N+	N+	+	25032	25280
CH22	N+	N+	+	27491	28083
CH22	N+	N+	+	29807	29873
CH23	N+	N+	+	1	54
CH23	N+	N+	+	19276	19570
CH23	N+	N+	+	19912	20200
CH23	N+	N+	+	25047	25295
CH23	N+	N+	+	27820	28098
CH23	N+	N+	+	29824	29890
CH24	N+	N+	+	1	54
CH24	N+	N+	+	5933	6197
CH24	N+	N+	+	9811	9811
CH24	N+	N+	+	19276	19570
CH24	N+	N+	+	19912	20200
CH24	N+	N+	+	27506	28098
CH24	N+	N+	+	29824	29890
CH25	N+	N+	+	1	54
CH25	N+	N+	+	9811	9811
CH25	N+	N+	+	19276	19570
CH25	N+	N+	+	29344	29497
CH25	N+	N+	+	29824	29890
CH26	N+	N+	+	1	54
CH26	N+	N+	+	9811	9811
CH26	N+	N+	+	18325	18618
CH26	N+	N+	+	19276	19570
CH26	N+	N+	+	29824	29890
CH27	N+	N+	+	1	54
CH27	N+	N+	+	2569	2588
CH27	N+	N+	+	9811	9811
CH27	N+	N+	+	19276	19570
CH27	N+	N+	+	19912	20496
CH27	N+	N+	+	29373	29373
CH27	N+	N+	+	29824	29890
CH28	N+	N+	+	1	54
CH28	N+	N+	+	9796	9796
CH28	N+	N+	+	19261	19555
CH28	N+	N+	+	19897	20185
CH28	N+	N+	+	27796	28074
CH28	N+	N+	+	29800	29866
CH29	N+	N+	+	1	54
CH29	N+	N+	+	19276	19570
CH29	N+	N+	+	29344	29497
CH29	N+	N+	+	29824	29890
CH30	N+	N+	+	1	54
CH30	N+	N+	+	2243	2529
CH30	N+	N+	+	5933	6197
CH30	N+	N+	+	10738	11022
CH30	N+	N+	+	12413	12439
CH30	N+	N+	+	19276	20200
CH30	N+	N+	+	24438	24715
CH30	N+	N+	+	27506	28098
CH30	N+	N+	+	29824	29890
CH31	N+	N+	+	1	54
CH31	N+	N+	+	14887	15181
CH31	N+	N+	+	22606	23123
CH31	N+	N+	+	27805	28083
CH31	N+	N+	+	29807	29873
CH32	N+	N+	+	1	54
CH32	N+	N+	+	19276	19570
CH32	N+	N+	+	19912	20200
CH32	N+	N+	+	29373	29373
CH32	N+	N+	+	29824	29890
CH33	N+	N+	+	1	54
CH33	N+	N+	+	1628	1628
CH33	N+	N+	+	19276	19570
CH33	N+	N+	+	19912	20200
CH33	N+	N+	+	27820	28098
CH33	N+	N+	+	29824	29890
CH34	N+	N+	+	1	54
CH34	N+	N+	+	14887	15181
CH34	N+	N+	+	22606	23123
CH34	N+	N+	+	27805	28083
CH34	N+	N+	+	29807	29873
CH35	N+	N+	+	1	54
CH35	N+	N+	+	1943	2529
CH35	N+	N+	+	5933	6197
CH35	N+	N+	+	6847	7058
CH35	N+	N+	+	8320	8913
CH35	N+	N+	+	10738	11022
CH35	N+	N+	+	13962	14232
CH35	N+	N+	+	18958	20200
CH35	N+	N+	+	24438	24715
CH35	N+	N+	+	25342	25617
CH35	N+	N+	+	27506	28098
CH35	N+	N+	+	28744	28994
CH35	N+	N+	+	29824	29890
CH36	N+	N+	+	1	54
CH36	N+	N+	+	9808	9808
CH36	N+	N+	+	14887	15181
CH36	N+	N+	+	22606	23123
CH36	N+	N+	+	27805	28083
CH36	N+	N+	+	29807	29873
CH37	N+	N+	+	1	54
CH37	N+	N+	+	1943	2529
CH37	N+	N+	+	3827	4077
CH37	N+	N+	+	5933	6197
CH37	N+	N+	+	7672	7968
CH37	N+	N+	+	8320	8913
CH37	N+	N+	+	12235	12439
CH37	N+	N+	+	14899	15193
CH37	N+	N+	+	19276	20496
CH37	N+	N+	+	23495	23806
CH37	N+	N+	+	24140	24715
CH37	N+	N+	+	27506	28098
CH37	N+	N+	+	28744	28994
CH37	N+	N+	+	29824	29890
CH38	N+	N+	+	1	54
CH38	N+	N+	+	1628	1628
CH38	N+	N+	+	19276	19570
CH38	N+	N+	+	19912	20200
CH38	N+	N+	+	27820	28098
CH38	N+	N+	+	29373	29373
CH38	N+	N+	+	29824	29890
CH39	N+	N+	+	1	54
CH39	N+	N+	+	1943	2529
CH39	N+	N+	+	3184	3482
CH39	N+	N+	+	5933	6197
CH39	N+	N+	+	7672	7968
CH39	N+	N+	+	8320	8913
CH39	N+	N+	+	11669	11889
CH39	N+	N+	+	12235	12439
CH39	N+	N+	+	14899	14906
CH39	N+	N+	+	18325	18618
CH39	N+	N+	+	19276	20200
CH39	N+	N+	+	21147	21386
CH39	N+	N+	+	23495	23806
CH39	N+	N+	+	24438	24715
CH39	N+	N+	+	25342	25617
CH39	N+	N+	+	27506	28098
CH39	N+	N+	+	28744	28994
CH39	N+	N+	+	29824	29890
CH40	N+	N+	+	1	54
CH40	N+	N+	+	9931	9931
CH40	N+	N+	+	11373	11584
CH40	N+	N+	+	19276	19570
CH40	N+	N+	+	19912	20200
CH40	N+	N+	+	20868	21104
CH40	N+	N+	+	28448	28448
CH40	N+	N+	+	28744	28814
CH40	N+	N+	+	28994	28994
CH40	N+	N+	+	29824	29890
CH41	N+	N+	+	1	54
CH41	N+	N+	+	19276	19570
CH41	N+	N+	+	19912	20200
CH41	N+	N+	+	27762	28098
CH41	N+	N+	+	29824	29890
CH42	N+	N+	+	1	54
CH42	N+	N+	+	1628	1628
CH42	N+	N+	+	19276	19570
CH42	N+	N+	+	19912	20200
CH42	N+	N+	+	25342	25617
CH42	N+	N+	+	29373	29373
CH42	N+	N+	+	29824	29890
CH43	N+	N+	+	1	54
CH43	N+	N+	+	9811	9811
CH43	N+	N+	+	19276	19570
CH43	N+	N+	+	19912	20200
CH43	N+	N+	+	27820	28098
CH43	N+	N+	+	29824	29890
CH44	N+	N+	+	1	54
CH44	N+	N+	+	19276	19570
CH44	N+	N+	+	19912	20200
CH44	N+	N+	+	29824	29890
CH45	N+	N+	+	1	54
CH45	N+	N+	+	2569	2850
CH45	N+	N+	+	19276	19570
CH45	N+	N+	+	19912	20496
CH45	N+	N+	+	27050	27050
CH45	N+	N+	+	27820	28098
CH45	N+	N+	+	29824	29890
CH46	N+	N+	+	1	54
CH46	N+	N+	+	1195	1264
CH46	N+	N+	+	1590	1595
CH46	N+	N+	+	1942	1960
CH46	N+	N+	+	2142	2205
CH46	N+	N+	+	2842	2850
CH46	N+	N+	+	4143	4322
CH46	N+	N+	+	5297	5954
CH46	N+	N+	+	6248	6294
CH46	N+	N+	+	9243	9311
CH46	N+	N+	+	11361	11370
CH46	N+	N+	+	13599	13613
CH46	N+	N+	+	16699	16758
CH46	N+	N+	+	20151	20188
CH46	N+	N+	+	20531	20555
CH46	N+	N+	+	21620	22534
CH46	N+	N+	+	22661	22662
CH46	N+	N+	+	22858	22873
CH46	N+	N+	+	23134	24709
CH46	N+	N+	+	25635	25689
CH46	N+	N+	+	26837	26848
CH46	N+	N+	+	28422	28506
CH46	N+	N+	+	28618	28678
CH46	N+	N+	+	29365	29365
CH46	N+	N+	+	29760	29882
CH47	N+	N+	+	1	54
CH47	N+	N+	+	1195	1264
CH47	N+	N+	+	1943	2205
CH47	N+	N+	+	2846	2850
CH47	N+	N+	+	4143	4322
CH47	N+	N+	+	5621	5985
CH47	N+	N+	+	6134	6294
CH47	N+	N+	+	9243	9311
CH47	N+	N+	+	11361	11370
CH47	N+	N+	+	13599	13613
CH47	N+	N+	+	14887	14924
CH47	N+	N+	+	16699	16758
CH47	N+	N+	+	20151	20188
CH47	N+	N+	+	20531	20553
CH47	N+	N+	+	21620	22530
CH47	N+	N+	+	22839	23258
CH47	N+	N+	+	23391	24709
CH47	N+	N+	+	25543	25543
CH47	N+	N+	+	25635	25688
CH47	N+	N+	+	26837	26848
CH47	N+	N+	+	29365	29365
CH47	N+	N+	+	29645	29882
CH48	N+	N+	+	1	54
CH48	N+	N+	+	1195	1264
CH48	N+	N+	+	4143	4322
CH48	N+	N+	+	6248	6294
CH48	N+	N+	+	9243	9309
CH48	N+	N+	+	11361	11370
CH48	N+	N+	+	13600	13613
CH48	N+	N+	+	16699	16758
CH48	N+	N+	+	20531	20552
CH48	N+	N+	+	21620	21670
CH48	N+	N+	+	21953	22524
CH48	N+	N+	+	23483	23512
CH48	N+	N+	+	24051	24398
CH48	N+	N+	+	24667	24703
CH48	N+	N+	+	25629	25683
CH48	N+	N+	+	26831	26842
CH48	N+	N+	+	29639	29876
CH49	N+	N+	+	1	54
CH49	N+	N+	+	1195	1264
CH49	N+	N+	+	4143	4322
CH49	N+	N+	+	6248	6293
CH49	N+	N+	+	9243	9309
CH49	N+	N+	+	11361	11370
CH49	N+	N+	+	13600	13613
CH49	N+	N+	+	16700	16758
CH49	N+	N+	+	20531	20552
CH49	N+	N+	+	21621	21670
CH49	N+	N+	+	21988	22516
CH49	N+	N+	+	23475	23502
CH49	N+	N+	+	25621	25675
CH49	N+	N+	+	26823	26834
CH49	N+	N+	+	29351	29351
CH49	N+	N+	+	29746	29868
CH50	N+	N+	+	1	54
CH50	N+	N+	+	1195	1264
CH50	N+	N+	+	1571	1677
CH50	N+	N+	+	1833	2205
CH50	N+	N+	+	2835	2850
CH50	N+	N+	+	4143	4322
CH50	N+	N+	+	5621	6294
CH50	N+	N+	+	9246	9312
CH50	N+	N+	+	11373	11381
CH50	N+	N+	+	13611	13625
CH50	N+	N+	+	16711	16770
CH50	N+	N+	+	20163	20565
CH50	N+	N+	+	21632	21682
CH50	N+	N+	+	22014	22064
CH50	N+	N+	+	22254	22290
CH50	N+	N+	+	22878	23282
CH50	N+	N+	+	23413	23529
CH50	N+	N+	+	24146	24416
CH50	N+	N+	+	25647	25695
CH50	N+	N+	+	26849	26860
CH50	N+	N+	+	27191	27222
CH50	N+	N+	+	29774	29896
CH51	N+	N+	+	1	54
CH51	N+	N+	+	1195	1264
CH51	N+	N+	+	4143	4322
CH51	N+	N+	+	6248	6293
CH51	N+	N+	+	9243	9310
CH51	N+	N+	+	11361	11370
CH51	N+	N+	+	13600	13613
CH51	N+	N+	+	16700	16758
CH51	N+	N+	+	20531	20552
CH51	N+	N+	+	21621	21670
CH51	N+	N+	+	23480	24700
CH51	N+	N+	+	25534	25534
CH51	N+	N+	+	25626	25680
CH51	N+	N+	+	26828	26839
CH51	N+	N+	+	29356	29356
CH51	N+	N+	+	29751	29873
CH52	N+	N+	+	1	54
CH52	N+	N+	+	386	422
CH52	N+	N+	+	1195	1264
CH52	N+	N+	+	3360	3360
CH52	N+	N+	+	4143	4322
CH52	N+	N+	+	4370	4370
CH52	N+	N+	+	5736	5736
CH52	N+	N+	+	6248	6294
CH52	N+	N+	+	9246	9313
CH52	N+	N+	+	11373	11382
CH52	N+	N+	+	13612	13625
CH52	N+	N+	+	16711	16770
CH52	N+	N+	+	20543	20564
CH52	N+	N+	+	21632	21682
CH52	N+	N+	+	23495	23522
CH52	N+	N+	+	25641	25695
CH52	N+	N+	+	26843	26854
CH52	N+	N+	+	29653	29890
CH53	N+	N+	+	1	54
CH53	N+	N+	+	1195	1264
CH53	N+	N+	+	4143	4322
CH53	N+	N+	+	4370	4370
CH53	N+	N+	+	5736	5736
CH53	N+	N+	+	6248	6294
CH53	N+	N+	+	7561	7561
CH53	N+	N+	+	9243	9311
CH53	N+	N+	+	11361	11370
CH53	N+	N+	+	13599	13613
CH53	N+	N+	+	16699	16758
CH53	N+	N+	+	20531	20553
CH53	N+	N+	+	21620	21670
CH53	N+	N+	+	23480	23515
CH53	N+	N+	+	23802	24700
CH53	N+	N+	+	25626	25680
CH53	N+	N+	+	26828	26839
CH53	N+	N+	+	29356	29356
CH53	N+	N+	+	29751	29873
CH54	N+	N+	+	1	54
CH54	N+	N+	+	1195	1264
CH54	N+	N+	+	1590	1595
CH54	N+	N+	+	2155	2205
CH54	N+	N+	+	4143	4322
CH54	N+	N+	+	5621	5894
CH54	N+	N+	+	6248	6294
CH54	N+	N+	+	7561	7561
CH54	N+	N+	+	9243	9310
CH54	N+	N+	+	11361	11371
CH54	N+	N+	+	13599	13613
CH54	N+	N+	+	16699	16758
CH54	N+	N+	+	20531	20553
CH54	N+	N+	+	21620	22530
CH54	N+	N+	+	23178	23206
CH54	N+	N+	+	23489	24709
CH54	N+	N+	+	25543	25543
CH54	N+	N+	+	25635	25688
CH54	N+	N+	+	26837	26848
CH54	N+	N+	+	29645	29882
CH55	N+	N+	+	1	54
CH55	N+	N+	+	386	664
CH55	N+	N+	+	1193	1264
CH55	N+	N+	+	2832	2832
CH55	N+	N+	+	2844	2850
CH55	N+	N+	+	4143	4322
CH55	N+	N+	+	5621	5894
CH55	N+	N+	+	6248	6294
CH55	N+	N+	+	6808	6865
CH55	N+	N+	+	7048	7055
CH55	N+	N+	+	9243	9311
CH55	N+	N+	+	11361	11371
CH55	N+	N+	+	13599	13613
CH55	N+	N+	+	14887	14949
CH55	N+	N+	+	15111	15181
CH55	N+	N+	+	16144	16156
CH55	N+	N+	+	16699	16758
CH55	N+	N+	+	18151	18151
CH55	N+	N+	+	20531	20553
CH55	N+	N+	+	21135	21374
CH55	N+	N+	+	21620	22530
CH55	N+	N+	+	23178	23190
CH55	N+	N+	+	23489	24709
CH55	N+	N+	+	25264	25289
CH55	N+	N+	+	25635	25690
CH55	N+	N+	+	26836	26848
CH55	N+	N+	+	28422	28678
CH55	N+	N+	+	29645	29882
CH56	N+	N+	+	1	54
CH56	N+	N+	+	1178	1249
CH56	N+	N+	+	2137	2190
CH56	N+	N+	+	3345	3345
CH56	N+	N+	+	4128	4307
CH56	N+	N+	+	4355	4355
CH56	N+	N+	+	5606	5879
CH56	N+	N+	+	6233	6279
CH56	N+	N+	+	9228	9294
CH56	N+	N+	+	11346	11356
CH56	N+	N+	+	13585	13598
CH56	N+	N+	+	16037	16037
CH56	N+	N+	+	16684	16743
CH56	N+	N+	+	20516	20538
CH56	N+	N+	+	21605	22515
CH56	N+	N+	+	23474	24694
CH56	N+	N+	+	25620	25673
CH56	N+	N+	+	26822	26833
CH56	N+	N+	+	29350	29350
CH56	N+	N+	+	29745	29867
CH57	N+	N+	+	1	54
CH57	N+	N+	+	1180	1249
CH57	N+	N+	+	4128	4307
CH57	N+	N+	+	5606	5879
CH57	N+	N+	+	6233	6278
CH57	N+	N+	+	9228	9295
CH57	N+	N+	+	11346	11355
CH57	N+	N+	+	13585	13598
CH57	N+	N+	+	16037	16037
CH57	N+	N+	+	16685	16743
CH57	N+	N+	+	20516	20538
CH57	N+	N+	+	21605	22515
CH57	N+	N+	+	23474	23508
CH57	N+	N+	+	23796	24694
